Feature,F-Score,Kappa,Precision,Recall
sos,0.016666666666666666,0.0012666973744818045,1.0,0.008403361344537815
sos_medical,0.016666666666666666,0.0012666973744818045,1.0,0.008403361344537815
sos_wallet,0.016666666666666666,0.0012666973744818045,1.0,0.008403361344537815
souad,0.006269592476489029,-0.0034309749567539224,0.6,0.0031512605042016808
soul,0.016666666666666666,0.0012666973744818045,1.0,0.008403361344537815
soular,0.012526096033402923,9.483167377904324E-4,1.0,0.0063025210084033615
sound,0.028955532574974147,2.6073919561958163E-4,0.9333333333333333,0.014705882352941176
sounds,0.032989690721649485,-0.0013943962699899833,0.8888888888888888,0.01680672268907563
sounds_fine,0.01044932079414838,7.895549063659594E-4,1.0,0.005252100840336135
source,0.05112474437627812,0.0020337395935446944,0.9615384615384616,0.026260504201680673
source_for,0.016666666666666666,0.0012666973744818045,1.0,0.008403361344537815
source_of,0.022845275181723784,0.001746422359979509,1.0,0.011554621848739496
sources,0.028985507246376812,0.002228750886435006,1.0,0.014705882352941176
south,0.094,0.0056889446335782095,0.9791666666666666,0.04936974789915966
south_america,0.024896265560165977,0.0019069082083730663,1.0,0.012605042016806723
south_data,0.014598540145985401,0.0011073639704031783,1.0,0.007352941176470588
south_of,0.018730489073881373,0.0014263177230782536,1.0,0.009453781512605041
southern,0.03092783505154639,-0.0035295655584121326,0.8333333333333334,0.015756302521008403
southern_california,0.006263048016701462,-0.005388163282900117,0.5,0.0031512605042016808
southwest,0.014598540145985401,0.0011073639704031783,1.0,0.007352941176470588
spa,0.018730489073881373,0.0014263177230782536,1.0,0.009453781512605041
space,0.03913491246138002,0.0030384752378806146,1.0,0.01995798319327731
space_to,0.01044932079414838,7.895549063659594E-4,1.0,0.005252100840336135
spacer,0.012526096033402923,9.483167377904324E-4,1.0,0.0063025210084033615
spacer_type,0.01044932079414838,7.895549063659594E-4,1.0,0.005252100840336135
spark,0.016614745586708203,-0.004618637646226788,0.7272727272727273,0.008403361344537815
speak,0.02694300518134715,0.002067684121487279,1.0,0.01365546218487395
speak_no,0.01044932079414838,7.895549063659594E-4,1.0,0.005252100840336135
speaker,0.01044932079414838,7.895549063659594E-4,1.0,0.005252100840336135
speakers,0.016666666666666666,0.0012666973744818045,1.0,0.008403361344537815
speakers_will,0.01044932079414838,7.895549063659594E-4,1.0,0.005252100840336135
speaking,0.024896265560165977,0.0019069082083730663,1.0,0.012605042016806723
special,0.23985239852398524,0.018761543695926895,0.9848484848484849,0.13655462184873948
special_<COMMA>,0.014598540145985401,0.0011073639704031783,1.0,0.007352941176470588
special_discount,0.012526096033402923,9.483167377904324E-4,1.0,0.0063025210084033615
special_offer,0.04717948717948719,0.003691571398346813,1.0,0.02415966386554622
special_offers,0.045174537987679675,0.003527851072204332,1.0,0.023109243697478993
special_opportunities,0.012526096033402923,9.483167377904324E-4,1.0,0.0063025210084033615
special_rates,0.014598540145985401,0.0011073639704031783,1.0,0.007352941176470588
special_someone,0.01044932079414838,7.895549063659594E-4,1.0,0.005252100840336135
specialist,0.012526096033402923,9.483167377904324E-4,1.0,0.0063025210084033615
specialists,0.014598540145985401,0.0011073639704031783,1.0,0.007352941176470588
specials,0.08257804632426988,0.0066904516425726306,1.0,0.0430672268907563
specials_<COLON>,0.01044932079414838,7.895549063659594E-4,1.0,0.005252100840336135
specials_<COMMA>,0.022845275181723784,0.001746422359979509,1.0,0.011554621848739496
specials_<EXCLAMATIONMARK>,0.012526096033402923,9.483167377904324E-4,1.0,0.0063025210084033615
specials_<PERIOD>,0.024896265560165977,0.0019069082083730663,1.0,0.012605042016806723
specials_a,0.014598540145985401,0.0011073639704031783,1.0,0.007352941176470588
specials_and,0.01044932079414838,7.895549063659594E-4,1.0,0.005252100840336135
specials_at,0.02079002079002079,0.0015862257920313658,1.0,0.01050420168067227
specials_discounted,0.012526096033402923,9.483167377904324E-4,1.0,0.0063025210084033615
specials_for,0.018730489073881373,0.0014263177230782536,1.0,0.009453781512605041
specials_from,0.018730489073881373,0.0014263177230782536,1.0,0.009453781512605041
specials_last-minute,0.01044932079414838,7.895549063659594E-4,1.0,0.005252100840336135
specials_list,0.012526096033402923,9.483167377904324E-4,1.0,0.0063025210084033615
specials_online,0.012526096033402923,9.483167377904324E-4,1.0,0.0063025210084033615
specials_page,0.014598540145985401,0.0011073639704031783,1.0,0.007352941176470588
specials_rules,0.012526096033402923,9.483167377904324E-4,1.0,0.0063025210084033615
specials_through,0.012526096033402923,9.483167377904324E-4,1.0,0.0063025210084033615
specific,0.05311542390194075,0.002196691782176049,0.9629629629629629,0.0273109243697479
specific_dates,0.028985507246376812,0.002228750886435006,1.0,0.014705882352941176
specific_help,0.014598540145985401,0.0011073639704031783,1.0,0.007352941176470588
specification,0.02079002079002079,0.0015862257920313658,1.0,0.01050420168067227
specification_with,0.012526096033402923,9.483167377904324E-4,1.0,0.0063025210084033615
speculation,0.012526096033402923,9.483167377904324E-4,1.0,0.0063025210084033615
speculative,0.006263048016701462,-0.005388163282900117,0.5,0.0031512605042016808
speed,0.02688728024819028,-0.00186863090194033,0.8666666666666667,0.01365546218487395
speedy,0.01044932079414838,7.895549063659594E-4,1.0,0.005252100840336135
spend,0.03913491246138002,0.0030384752378806146,1.0,0.01995798319327731
spending,0.010438413361169104,-0.0011638432691064124,0.8333333333333334,0.005252100840336135
spent,0.02076843198338526,-3.752643087559184E-4,0.9090909090909091,0.01050420168067227
spergon,0.02694300518134715,0.002067684121487279,1.0,0.01365546218487395
spergon_wynn,0.02694300518134715,0.002067684121487279,1.0,0.01365546218487395
spikes,0.024896265560165977,0.0019069082083730663,1.0,0.012605042016806723
spirit,0.016666666666666666,0.0012666973744818045,1.0,0.008403361344537815
split,0.016666666666666666,0.0012666973744818045,1.0,0.008403361344537815
spokane,0.012526096033402923,9.483167377904324E-4,1.0,0.0063025210084033615
spokane_<COMMA>,0.01044932079414838,7.895549063659594E-4,1.0,0.005252100840336135
spoke,0.02079002079002079,0.0015862257920313658,1.0,0.01050420168067227
sponsor,0.018730489073881373,0.0014263177230782536,1.0,0.009453781512605041
sponsor_<DASH>,0.01044932079414838,7.895549063659594E-4,1.0,0.005252100840336135
sponsored,0.012526096033402923,9.483167377904324E-4,1.0,0.0063025210084033615
sponsored_by,0.012526096033402923,9.483167377904324E-4,1.0,0.0063025210084033615
